Région,Consommation (MW),TMoy (°C),TMin (°C),TMax (°C)
Île-de-France,399184.0,6.03,3.3,8.76
Centre-Val de Loire,103971.0,6.12,1.52,10.73
Bourgogne-Franche-Comté,112383.0,5.87,2.22,9.52
Normandie,154861.0,6.09,2.78,9.4
Hauts-de-France,263091.0,4.72,1.72,7.72
Grand Est,231128.0,4.06,1.13,6.99
Pays de la Loire,139420.0,8.15,5.35,10.95
Bretagne,125505.0,7.64,3.0,12.27
Nouvelle-Aquitaine,239091.0,8.45,3.32,13.58
Occitanie,211091.0,8.94,4.54,13.34
Auvergne-Rhône-Alpes,363348.0,6.76,2.96,10.56
Provence-Alpes-Côte d'Azur,238843.0,9.03,5.3,12.77
Île-de-France,538676.0,-1.98,-4.62,0.66
Centre-Val de Loire,148954.0,-1.49,-3.95,0.97
Bourgogne-Franche-Comté,142147.0,-1.72,-3.33,-0.1
Normandie,209984.0,-1.25,-4.48,1.98
Hauts-de-France,331743.0,-1.31,-4.18,1.56
Grand Est,287070.0,-2.24,-4.9,0.41
Pays de la Loire,207067.0,-0.35,-4.35,3.65
Bretagne,160039.0,4.92,2.15,7.7
Nouvelle-Aquitaine,307584.0,2.23,-0.64,5.11
Occitanie,264387.0,3.02,-0.87,6.91
Auvergne-Rhône-Alpes,438482.0,1.03,-4.13,6.19
Provence-Alpes-Côte d'Azur,267104.0,6.62,0.78,12.45
Île-de-France,399523.0,7.62,5.96,9.28
Centre-Val de Loire,108198.0,7.47,5.25,9.68
Bourgogne-Franche-Comté,115025.0,7.48,6.12,8.83
Normandie,160946.0,6.99,5.0,8.98
Hauts-de-France,287915.0,6.81,5.42,8.2
Grand Est,230926.0,6.79,5.26,8.31
Pays de la Loire,148919.0,9.73,7.7,11.75
Bretagne,130475.0,8.68,6.45,10.9
Nouvelle-Aquitaine,250136.0,9.82,7.35,12.28
Occitanie,235631.0,9.85,6.15,13.55
Auvergne-Rhône-Alpes,381528.0,6.45,3.98,8.92
Provence-Alpes-Côte d'Azur,253269.0,9.44,6.12,12.77
Île-de-France,408620.0,7.54,6.88,8.2
Centre-Val de Loire,118571.0,6.82,6.1,7.53
Bourgogne-Franche-Comté,121856.0,5.55,4.65,6.45
Normandie,157044.0,7.99,7.26,8.72
Hauts-de-France,268970.0,8.02,7.22,8.82
Grand Est,233054.0,5.31,4.11,6.5
Pays de la Loire,151629.0,8.32,7.45,9.2
Bretagne,129616.0,8.43,7.68,9.18
Nouvelle-Aquitaine,292156.0,5.18,3.93,6.44
Occitanie,262126.0,4.31,1.31,7.32
Auvergne-Rhône-Alpes,398784.0,4.83,3.33,6.34
Provence-Alpes-Côte d'Azur,263505.0,7.97,2.67,13.27
Île-de-France,472417.0,2.0,-1.42,5.42
Centre-Val de Loire,120972.0,4.11,0.17,8.05
Bourgogne-Franche-Comté,127279.0,-0.01,-2.18,2.17
Normandie,182016.0,3.45,0.58,6.32
Hauts-de-France,294233.0,0.95,-0.98,2.88
Grand Est,259949.0,-1.2,-4.1,1.7
Pays de la Loire,159190.0,7.28,4.25,10.3
Bretagne,137275.0,8.94,7.22,10.65
Nouvelle-Aquitaine,261443.0,8.18,5.56,10.81
Occitanie,236659.0,6.4,2.93,9.86
Auvergne-Rhône-Alpes,403787.0,1.53,-2.92,5.98
Provence-Alpes-Côte d'Azur,262513.0,6.53,0.6,12.47
Île-de-France,453879.0,0.94,-1.62,3.5
Centre-Val de Loire,136777.0,0.25,-2.9,3.4
Bourgogne-Franche-Comté,127569.0,0.95,-0.92,2.82
Normandie,192347.0,0.88,-2.54,4.3
Hauts-de-France,299070.0,1.64,-1.02,4.3
Grand Est,255414.0,1.35,-0.26,2.96
Pays de la Loire,189248.0,1.2,-1.85,4.25
Bretagne,167601.0,2.41,-1.45,6.28
Nouvelle-Aquitaine,306280.0,2.69,-0.5,5.88
Occitanie,261701.0,4.06,1.68,6.44
Auvergne-Rhône-Alpes,397093.0,1.67,0.34,3.0
Provence-Alpes-Côte d'Azur,283815.0,5.32,3.32,7.32
Île-de-France,455571.0,11.71,10.8,12.62
Centre-Val de Loire,118590.0,11.39,10.45,12.33
Bourgogne-Franche-Comté,134791.0,11.0,10.15,11.85
Normandie,177438.0,11.13,10.42,11.84
Hauts-de-France,325958.0,11.07,10.5,11.64
