Date,Région,Consommation (MW),TMoy (°C)
01/01/2016,Île-de-France,399184.0,6.03
01/01/2016,Centre-Val de Loire,103971.0,6.12
01/01/2016,Bourgogne-Franche-Comté,112383.0,5.87
01/01/2016,Normandie,154861.0,6.09
01/01/2016,Hauts-de-France,263091.0,4.72
01/01/2016,Grand Est,231128.0,4.06
01/01/2016,Pays de la Loire,139420.0,8.15
01/01/2016,Bretagne,125505.0,7.64
01/01/2016,Nouvelle-Aquitaine,239091.0,8.45
01/01/2016,Occitanie,211091.0,8.94
01/01/2016,Auvergne-Rhône-Alpes,363348.0,6.76
01/01/2016,Provence-Alpes-Côte d'Azur,238843.0,9.03
01/01/2017,Île-de-France,538676.0,-1.98
01/01/2017,Centre-Val de Loire,148954.0,-1.49
01/01/2017,Bourgogne-Franche-Comté,142147.0,-1.72
01/01/2017,Normandie,209984.0,-1.25
01/01/2017,Hauts-de-France,331743.0,-1.31
01/01/2017,Grand Est,287070.0,-2.24
01/01/2017,Pays de la Loire,207067.0,-0.35
01/01/2017,Bretagne,160039.0,4.92
01/01/2017,Nouvelle-Aquitaine,307584.0,2.23
01/01/2017,Occitanie,264387.0,3.02
01/01/2017,Auvergne-Rhône-Alpes,438482.0,1.03
01/01/2017,Provence-Alpes-Côte d'Azur,267104.0,6.62
01/01/2018,Île-de-France,399523.0,7.62
01/01/2018,Centre-Val de Loire,108198.0,7.47
01/01/2018,Bourgogne-Franche-Comté,115025.0,7.48
01/01/2018,Normandie,160946.0,6.99
01/01/2018,Hauts-de-France,287915.0,6.81
01/01/2018,Grand Est,230926.0,6.79
01/01/2018,Pays de la Loire,148919.0,9.73
01/01/2018,Bretagne,130475.0,8.68
01/01/2018,Nouvelle-Aquitaine,250136.0,9.82
01/01/2018,Occitanie,235631.0,9.85
01/01/2018,Auvergne-Rhône-Alpes,381528.0,6.45
01/01/2018,Provence-Alpes-Côte d'Azur,253269.0,9.44
01/01/2019,Île-de-France,408620.0,7.54
01/01/2019,Centre-Val de Loire,118571.0,6.82
