Month,Consommation (MW)
2013-01-01,16826536.0
2013-02-01,15613449.0
2013-03-01,15582496.0
2013-04-01,12457808.0
2013-05-01,11149587.0
2013-06-01,9986972.0
2013-07-01,10025514.0
2013-08-01,8874986.0
2013-09-01,9952434.0
2013-10-01,11406106.0
2013-11-01,14152841.0
2013-12-01,15381275.0
2014-01-01,15258335.0
2014-02-01,13530928.0
2014-03-01,13055949.0
2014-04-01,10804521.0
2014-05-01,10568871.0
2014-06-01,9636379.0
2014-07-01,9786914.0
2014-08-01,8717103.0
2014-09-01,9754849.0
2014-10-01,11100193.0
2014-11-01,12538478.0
2014-12-01,15729375.0
2015-01-01,16392533.0
2015-02-01,14884967.0
2015-03-01,14151153.0
2015-04-01,11101542.0
2015-05-01,10325859.0
2015-06-01,9793561.0
2015-07-01,9822600.0
2015-08-01,8886700.0
2015-09-01,9926288.0
2015-10-01,12100592.0
2015-11-01,12524407.0
2015-12-01,13581887.0
2016-01-01,15597377.0
2016-02-01,14249343.0
2016-03-01,14517171.0
2016-04-01,11901363.0
2016-05-01,10545359.0
2016-06-01,9892004.0
2016-07-01,9514029.0
2016-08-01,8898940.0
2016-09-01,9641433.0
2016-10-01,11755693.0
2016-11-01,13725466.0
2016-12-01,15809878.0
2017-01-01,17785746.0
2017-02-01,13337869.0
2017-03-01,12898066.0
2017-04-01,10943744.0
2017-05-01,10423078.0
2017-06-01,9650336.0
2017-07-01,9387568.0
2017-08-01,8685113.0
2017-09-01,9804539.0
2017-10-01,10902493.0
2017-11-01,13477374.0
2017-12-01,15348100.0
2018-01-01,14123224.0
2018-02-01,15383969.0
2018-03-01,14890436.0
2018-04-01,10596491.0
2018-05-01,10017979.0
2018-06-01,9532398.0
2018-07-01,9803622.0
2018-08-01,8774904.0
2018-09-01,9388124.0
2018-10-01,11068117.0
2018-11-01,13516718.0
2018-12-01,14497978.0
2019-01-01,16177195.0
2019-02-01,13270272.0
2019-03-01,12865608.0
2019-04-01,10975545.0
2019-05-01,10536657.0
2019-06-01,9490945.0
2019-07-01,9509833.0
2019-08-01,8388083.0
2019-09-01,9067077.0
2019-10-01,11089626.0
2019-11-01,13451751.0
2019-12-01,14392704.0
2020-01-01,15081765.0
2020-02-01,12858920.0
2020-03-01,12390543.0
2020-04-01,8533838.0
2020-05-01,8779529.0
2020-06-01,8791958.0
2020-07-01,8816794.0
2020-08-01,8598640.0
2020-09-01,9190950.0
2020-10-01,11209370.0
2020-11-01,11734080.0
2020-12-01,14023351.0
2021-01-01,15608847.0
2021-02-01,12790432.0
2021-03-01,12915781.0
2021-04-01,11136921.0
2021-05-01,10206182.0
2021-06-01,9069654.0
2021-07-01,8785177.0
2021-08-01,7985234.0
2021-09-01,9074128.0
2021-10-01,10948197.0
2021-11-01,13469728.0
