Month,Consommation (MW)
2013-01-01,106515355.0
2013-02-01,98659091.0
2013-03-01,98492373.0
2013-04-01,80269032.0
2013-05-01,73323639.0
2013-06-01,65655313.0
2013-07-01,69091979.0
2013-08-01,62765320.0
2013-09-01,66050687.0
2013-10-01,73631639.0
2013-11-01,90093464.0
2013-12-01,99586371.0
2014-01-01,98093825.0
2014-02-01,88556199.0
2014-03-01,85846409.0
2014-04-01,72195790.0
2014-05-01,68969031.0
2014-06-01,64773710.0
2014-07-01,67382384.0
2014-08-01,61498862.0
2014-09-01,66078191.0
2014-10-01,72200216.0
2014-11-01,80801874.0
2014-12-01,98300665.0
2015-01-01,104474826.0
2015-02-01,96789085.0
2015-03-01,91043814.0
2015-04-01,73362387.0
2015-05-01,67464852.0
2015-06-01,66102424.0
2015-07-01,69323721.0
2015-08-01,62691271.0
2015-09-01,66633256.0
2015-10-01,77838902.0
2015-11-01,81691914.0
2015-12-01,88889268.0
2016-01-01,99742979.0
2016-02-01,92353370.0
2016-03-01,94109466.0
2016-04-01,77772461.0
2016-05-01,69077280.0
2016-06-01,65300061.0
2016-07-01,66958322.0
2016-08-01,63774758.0
2016-09-01,66070423.0
2016-10-01,76620316.0
2016-11-01,88083214.0
2016-12-01,100768346.0
2017-01-01,114162972.0
2017-02-01,87218660.0
2017-03-01,85058467.0
2017-04-01,72857186.0
2017-05-01,69655294.0
2017-06-01,66312416.0
2017-07-01,67258252.0
2017-08-01,63701891.0
2017-09-01,66853000.0
2017-10-01,72726462.0
2017-11-01,89402190.0
2017-12-01,102882656.0
2018-01-01,96872657.0
2018-02-01,99815892.0
2018-03-01,96538980.0
2018-04-01,72113953.0
2018-05-01,67565407.0
2018-06-01,64823728.0
2018-07-01,68712529.0
2018-08-01,64392214.0
2018-09-01,64955335.0
2018-10-01,73706025.0
2018-11-01,87004899.0
2018-12-01,94540380.0
2019-01-01,107594840.0
2019-02-01,88083954.0
2019-03-01,85884471.0
2019-04-01,75378026.0
2019-05-01,70769358.0
2019-06-01,64772058.0
2019-07-01,68757136.0
2019-08-01,62634519.0
2019-09-01,64016498.0
2019-10-01,72257510.0
2019-11-01,87398136.0
2019-12-01,93407846.0
2020-01-01,98880324.0
2020-02-01,86231692.0
2020-03-01,82566149.0
2020-04-01,60943598.0
2020-05-01,60948474.0
2020-06-01,61213144.0
2020-07-01,65517370.0
2020-08-01,62378231.0
2020-09-01,64222994.0
2020-10-01,76205751.0
2020-11-01,79271553.0
2020-12-01,94786256.0
2021-01-01,105462486.0
2021-02-01,85296272.0
2021-03-01,86294701.0
2021-04-01,74628174.0
2021-05-01,69042894.0
2021-06-01,63359400.0
2021-07-01,65195587.0
2021-08-01,61096040.0
2021-09-01,64161277.0
2021-10-01,73117116.0
2021-11-01,88412987.0
