,Année,Type,Production (MW)
0,2013,Thermique (MW),87265040.0
1,2014,Thermique (MW),49924365.0
2,2015,Thermique (MW),66714884.0
3,2016,Thermique (MW),88787737.0
4,2017,Thermique (MW),105507116.0
5,2018,Thermique (MW),75986264.0
6,2019,Thermique (MW),82152897.0
7,2020,Thermique (MW),73543103.0
8,2021,Thermique (MW),63973035.0
9,2013,Nucléaire (MW),806802087.0
10,2014,Nucléaire (MW),831008785.0
11,2015,Nucléaire (MW),832908808.0
12,2016,Nucléaire (MW),767408645.0
13,2017,Nucléaire (MW),757772631.0
14,2018,Nucléaire (MW),785967028.0
15,2019,Nucléaire (MW),758459526.0
16,2020,Nucléaire (MW),670460374.0
17,2021,Nucléaire (MW),658052510.0
18,2013,Eolien (MW),31665608.0
19,2014,Eolien (MW),34116918.0
20,2015,Eolien (MW),42188171.0
21,2016,Eolien (MW),41835426.0
22,2017,Eolien (MW),48194982.0
23,2018,Eolien (MW),56261568.0
24,2019,Eolien (MW),67631922.0
25,2020,Eolien (MW),79400565.0
26,2021,Eolien (MW),63321340.0
27,2013,Solaire (MW),9008891.0
28,2014,Solaire (MW),11639659.0
29,2015,Solaire (MW),14572733.0
30,2016,Solaire (MW),16521789.0
31,2017,Solaire (MW),17987913.0
32,2018,Solaire (MW),21166093.0
33,2019,Solaire (MW),24204370.0
34,2020,Solaire (MW),24925055.0
35,2021,Solaire (MW),26878868.0
36,2013,Hydraulique (MW),149129252.0
37,2014,Hydraulique (MW),134720263.0
38,2015,Hydraulique (MW),117039522.0
39,2016,Hydraulique (MW),126717599.0
40,2017,Hydraulique (MW),106026436.0
41,2018,Hydraulique (MW),134815101.0
42,2019,Hydraulique (MW),119002296.0
43,2020,Hydraulique (MW),129611835.0
44,2021,Hydraulique (MW),111736790.0
45,2013,Pompage (MW),-14366288.0
46,2014,Pompage (MW),-15980203.0
47,2015,Pompage (MW),-13776932.0
48,2016,Pompage (MW),-13498506.0
49,2017,Pompage (MW),-14314962.0
50,2018,Pompage (MW),-14797445.0
51,2019,Pompage (MW),-12864508.0
52,2020,Pompage (MW),-12525881.0
53,2021,Pompage (MW),-10378432.0
54,2013,Bioénergies (MW),12227527.0
55,2014,Bioénergies (MW),15020879.0
56,2015,Bioénergies (MW),15832717.0
57,2016,Bioénergies (MW),17423013.0
58,2017,Bioénergies (MW),18877342.0
59,2018,Bioénergies (MW),19092161.0
60,2019,Bioénergies (MW),19321315.0
61,2020,Bioénergies (MW),19357548.0
62,2021,Bioénergies (MW),17601169.0
63,2013,Ech. physiques (MW),-98246706.0
64,2014,Ech. physiques (MW),-135740875.0
65,2015,Ech. physiques (MW),-129170409.0
66,2016,Ech. physiques (MW),-84558615.0
67,2017,Ech. physiques (MW),-81957709.0
68,2018,Ech. physiques (MW),-127454269.0
69,2019,Ech. physiques (MW),-116957587.0
70,2020,Ech. physiques (MW),-91529600.0
71,2021,Ech. physiques (MW),-95023830.0
